id,paid_enroll,prv_wk_nbr,prv_wk_min,message,binge,complete
108,1,7,333,0,1,1
109,0,4,454,0,1,1
110,1,1,476,0,1,1
111,1,4,410,0,1,1
112,0,4,188,0,1,1
113,0,4,137,0,1,1
114,1,5,264,0,1,1
115,1,3,317,0,1,1
116,1,5,453,0,1,1
117,1,2,263,0,1,1
118,0,3,257,0,1,1
119,0,3,476,0,1,1
120,1,4,274,0,1,1
121,1,1,345,0,1,1
122,1,4,359,0,1,1
123,1,2,312,0,1,1
124,0,5,429,0,1,1
125,1,3,59,0,1,1
126,0,4,292,0,1,1
127,0,2,177,0,1,1
128,1,5,224,0,1,1
129,1,5,81,0,1,1
130,1,5,52,0,0,0
131,0,3,361,0,1,1
132,1,3,234,0,1,1
133,0,4,339,0,1,1
134,0,3,139,0,0,1
135,0,3,463,0,1,1
136,0,4,334,0,1,1
137,1,3,199,0,1,1
138,0,2,371,0,1,1
139,0,3,143,0,0,1
140,1,7,45,0,0,0
141,1,3,137,0,1,1
142,1,3,478,0,1,1
143,1,2,21,0,0,1
144,0,2,52,0,1,1
145,1,4,474,0,1,1
146,0,5,239,0,1,1
147,1,4,196,0,1,1
148,1,3,336,0,1,1
149,1,3,269,0,1,1
150,1,5,418,0,1,1
151,1,5,89,0,1,1
152,0,4,56,0,1,0
153,1,5,63,0,1,1
154,0,2,271,0,1,1
155,1,2,28,0,0,0
156,1,4,143,0,1,1
157,0,4,237,0,1,1
158,0,5,59,0,0,1
159,1,3,376,0,1,1
160,0,2,396,0,1,1
161,0,4,38,0,0,1
162,1,4,220,0,1,1
163,1,2,283,0,1,1
164,0,2,121,0,1,1
165,0,5,171,0,1,1
166,0,3,114,0,0,1
167,1,3,37,0,0,0
168,0,5,307,0,1,1
169,1,4,409,0,1,1
170,0,5,369,0,1,1
171,1,3,97,0,0,1
172,0,5,26,0,0,1
173,1,4,192,0,1,1
174,0,2,332,0,1,1
175,0,5,89,0,1,1
176,0,4,31,0,0,0
177,1,5,223,0,1,1
178,0,2,205,0,1,1
179,1,2,374,0,1,1
180,0,5,306,0,1,1
181,0,7,57,0,0,1
182,1,2,454,0,1,1
183,0,2,254,0,1,1
184,0,7,169,0,1,1
185,0,5,25,0,0,1
186,0,4,161,0,1,1
187,0,3,303,0,1,1
188,1,3,179,0,1,1
189,0,3,398,0,1,1
190,1,3,360,0,1,1
191,1,5,270,0,1,1
192,1,4,406,0,1,1
193,1,2,339,0,1,1
194,1,3,308,0,1,1
195,0,4,116,0,1,1
196,1,4,272,0,1,1
197,1,5,146,0,0,1
198,0,7,254,0,1,1
199,1,4,416,0,1,1
200,0,7,381,0,1,1
201,1,3,314,0,1,1
202,0,2,340,0,1,1
203,1,5,203,0,1,1
204,0,2,185,0,1,1
205,0,3,188,0,1,1
206,1,2,355,0,1,1
207,0,4,79,0,0,1
208,1,4,420,0,1,1
209,1,3,255,0,1,1
210,1,3,305,0,1,1
211,1,2,393,0,1,1
212,0,4,187,0,1,1
213,1,2,382,0,1,1
214,0,2,144,0,1,1
215,1,2,207,0,1,1
216,1,2,343,0,1,1
217,1,2,58,0,0,0
218,0,5,120,0,0,1
219,1,5,94,0,1,1
220,1,2,53,0,0,0
221,1,3,457,0,1,1
222,1,4,69,0,0,1
223,0,5,26,0,0,0
224,0,2,123,0,1,1
225,1,5,286,0,1,1
226,1,3,218,0,1,1
227,1,5,117,0,0,1
228,0,3,379,0,1,1
229,0,3,12,0,0,0
230,1,2,30,0,0,0
231,1,5,84,0,1,0
232,1,7,213,0,1,1
233,0,1,120,0,1,1
234,0,7,94,0,0,1
235,1,3,338,0,1,1
236,1,2,248,0,1,1
237,1,3,17,0,0,0
238,0,5,377,0,1,1
239,1,2,76,0,0,0
240,1,5,377,0,1,1
241,0,3,449,0,1,1
242,1,3,183,0,1,1
243,1,5,470,0,1,1
244,0,4,365,0,1,1
245,1,2,425,0,1,1
246,1,4,23,0,0,0
247,1,3,432,0,1,1
248,1,4,122,0,1,1
249,0,5,473,0,1,1
250,0,4,82,0,0,0
251,0,4,260,0,1,1
252,0,5,76,0,0,0
253,0,4,90,0,0,1
254,1,2,171,0,1,1
255,0,3,290,0,1,1
256,1,4,399,0,1,1
257,0,3,441,0,1,1
258,0,7,13,0,0,0
259,1,7,300,0,1,1
260,1,5,123,0,1,1
261,0,5,399,0,1,1
262,1,5,410,0,1,1
263,0,4,256,0,1,1
264,1,3,452,0,1,1
265,0,4,115,0,1,1
266,0,3,99,0,1,1
267,1,2,370,0,1,1
268,1,5,300,0,1,1
269,0,4,230,0,1,1
270,0,2,402,0,1,1
271,0,4,111,0,1,1
272,1,2,306,0,1,1
273,0,3,30,0,0,0
274,1,2,249,0,1,1
275,1,5,410,0,1,1
276,1,2,102,0,0,1
277,1,5,40,0,0,0
278,1,2,223,0,1,1
279,1,1,33,0,0,0
280,1,5,338,0,1,1
281,1,1,172,0,1,1
282,1,3,99,0,0,1
283,0,4,124,0,1,1
284,1,4,350,0,1,1
285,1,3,49,0,0,1
286,0,3,469,0,1,1
287,1,5,472,0,1,1
288,0,2,214,0,1,1
289,0,2,355,0,1,1
290,1,3,145,0,1,1
291,1,2,433,0,1,1
292,0,3,73,0,0,1
293,1,3,239,0,1,1
294,1,3,122,0,0,1
295,1,3,124,0,0,1
296,0,4,406,0,1,1
297,1,5,21,0,0,0
298,1,5,148,0,1,1
299,1,4,83,0,0,1
300,0,4,62,0,0,0
301,0,7,133,0,1,1
302,1,2,112,0,0,1
303,1,7,124,0,0,1
304,0,5,67,0,1,1
305,0,3,418,0,1,1
306,1,4,407,0,1,1
307,1,2,365,0,1,1
308,0,2,109,0,1,1
309,0,3,144,0,1,1
310,0,4,177,0,1,1
311,1,3,45,0,0,1
312,1,3,358,0,1,1
313,1,2,432,0,1,1
314,0,2,116,0,1,1
315,0,2,243,0,1,1
316,1,1,93,0,1,1
317,0,3,461,0,1,1
318,1,4,195,0,1,1
319,1,4,236,0,1,1
320,1,2,67,0,0,1
321,1,5,199,0,1,1
322,0,2,176,0,1,1
323,1,5,276,0,1,1
324,0,2,430,0,1,1
325,1,5,267,0,1,1
326,0,5,180,0,1,1
327,1,5,94,0,1,1
328,1,2,68,0,0,1
329,1,5,358,0,1,1
330,0,5,14,0,0,0
331,1,3,252,0,1,1
332,0,3,338,0,1,1
333,1,5,17,0,0,0
334,1,2,43,0,0,0
335,1,5,265,0,1,1
336,0,1,344,0,1,1
337,0,2,436,0,1,1
338,0,3,158,0,1,1
339,1,2,259,0,1,1
340,0,5,209,0,1,1
341,1,4,338,0,1,1
342,0,4,176,0,0,1
343,1,4,98,0,1,1
344,0,2,479,0,1,1
345,1,3,243,0,1,1
346,0,2,132,0,0,1
347,1,3,371,0,1,1
348,0,3,102,0,1,1
349,0,5,332,0,1,1
350,0,5,71,0,0,1
351,1,5,291,0,1,1
352,0,5,409,0,1,1
353,0,4,189,0,1,1
354,0,3,80,0,0,1
355,1,3,292,0,1,1
356,1,5,187,0,1,1
357,1,3,456,0,1,1
358,0,5,442,0,1,1
359,0,2,467,0,1,1
360,0,4,439,0,1,1
361,0,4,284,0,1,1
362,0,4,71,0,0,1
363,1,3,238,0,1,1
364,0,2,203,0,1,1
365,1,3,183,0,1,1
366,0,5,50,0,0,1
367,0,4,231,0,1,1
368,1,4,124,0,1,0
369,1,7,381,0,1,1
370,0,5,43,0,0,1
371,0,4,96,0,0,1
372,1,2,17,0,0,0
373,1,2,69,0,0,0
374,0,2,133,0,1,1
375,0,3,309,0,1,1
376,1,5,29,0,0,0
377,0,2,49,0,1,1
378,1,4,61,0,0,0
379,0,3,239,0,1,1
380,1,5,44,0,0,0
381,0,2,185,0,1,1
382,1,4,205,0,1,1
383,0,3,100,0,1,1
384,1,2,473,0,1,1
385,0,4,461,0,1,1
386,0,1,40,0,0,0
387,1,4,49,0,1,1
388,0,2,167,0,1,1
389,1,4,206,0,1,1
390,1,2,158,0,1,1
391,1,3,298,0,1,1
392,1,4,435,0,1,1
393,1,4,470,0,1,1
394,1,3,479,0,1,1
395,1,2,240,0,1,1
396,1,5,361,0,1,1
397,1,4,450,0,1,1
398,1,5,314,0,1,1
399,1,2,403,0,1,1
400,1,4,337,0,1,1
401,1,2,301,0,1,1
402,1,4,215,0,1,1
403,0,3,270,0,1,1
404,0,4,148,0,1,1
405,0,2,443,0,1,1
406,1,1,293,0,1,1
407,1,5,391,0,1,1
408,0,7,434,0,1,1
409,1,4,56,0,0,1
410,1,5,380,0,1,1
411,1,3,477,0,1,1
412,1,2,111,0,1,1
413,1,3,161,0,1,1
414,1,3,220,0,1,1
415,1,5,54,0,0,1
416,1,5,119,0,1,1
417,1,5,332,0,1,1
418,0,4,86,0,1,1
419,1,5,86,0,1,1
420,1,1,99,0,1,0
421,1,2,269,0,1,1
422,1,4,351,0,1,1
423,0,3,364,0,1,1
424,1,5,30,0,0,0
425,1,2,379,0,1,1
426,1,4,360,0,1,1
427,0,5,68,0,0,0
428,0,2,288,0,1,1
429,0,4,211,0,1,1
430,1,7,141,0,1,1
431,1,3,370,0,1,1
432,1,4,367,0,1,1
433,1,3,279,0,1,1
434,0,7,258,0,1,1
435,0,2,352,0,1,1
436,0,2,152,0,1,1
437,1,2,465,0,1,1
438,1,3,240,0,1,1
439,0,2,321,0,1,1
440,0,3,224,0,1,1
441,0,3,253,0,1,1
442,1,4,200,0,1,1
443,1,7,296,0,1,1
444,0,4,231,0,1,1
445,1,2,196,0,1,1
446,0,3,238,0,1,1
447,1,3,392,0,1,1
448,1,4,393,0,1,1
449,1,5,164,0,1,1
450,1,2,75,0,0,0
451,0,2,296,0,1,1
452,0,3,236,0,1,1
453,0,5,313,0,1,1
454,0,2,321,0,1,1
455,1,4,230,0,1,1
456,1,5,46,0,0,0
457,0,3,32,0,0,0
458,1,2,364,0,1,1
459,1,3,422,0,1,1
460,1,2,150,0,1,1
461,1,3,333,0,1,1
462,1,2,47,0,0,0
463,1,5,279,0,1,1
464,0,3,285,0,1,1
465,1,3,162,0,1,1
466,0,4,192,0,1,1
467,0,7,303,0,1,1
468,1,3,266,0,1,1
469,1,2,416,0,1,1
470,1,3,348,0,1,1
471,0,4,13,0,1,0
472,1,4,166,0,1,1
473,1,7,461,0,1,1
474,1,3,242,0,1,1
475,1,3,111,0,1,1
476,1,5,181,0,1,1
477,1,5,207,0,1,1
478,1,2,44,0,0,0
479,0,7,151,0,1,1
480,1,4,166,0,1,1
481,1,4,67,0,0,0
482,1,5,113,0,1,1
483,1,3,407,0,1,1
484,1,3,77,0,0,0
485,1,5,163,0,1,1
486,1,2,13,0,0,0
487,0,2,146,0,1,1
488,1,3,14,0,0,0
489,0,4,18,0,0,0
490,1,3,207,0,1,1
491,1,2,150,0,1,1
492,1,2,439,0,1,1
493,1,4,65,0,0,0
494,0,3,55,0,0,0
495,1,3,157,0,1,1
496,0,3,257,0,1,1
497,1,5,184,0,1,1
498,1,2,222,0,1,1
499,0,5,287,0,1,1
500,1,3,34,0,0,0
501,1,3,41,0,0,0
502,1,7,27,0,0,1
503,1,5,69,0,1,0
504,1,4,96,0,0,1
505,0,2,347,0,1,1
506,0,5,413,0,1,1
507,1,4,271,0,1,1
508,1,7,58,0,1,0
509,0,2,241,0,1,1
510,1,5,292,0,1,1
511,1,3,102,0,0,1
512,0,4,308,0,1,1
513,0,2,203,0,1,1
514,1,1,190,0,1,1
515,1,4,262,0,1,1
516,0,3,471,0,1,1
517,0,3,126,0,1,1
518,1,3,154,0,1,1
519,1,3,400,0,1,1
520,1,1,349,0,1,1
521,1,3,456,0,1,1
522,1,3,16,0,0,0
523,0,3,347,0,1,1
524,1,3,145,0,1,1
525,0,2,168,0,1,1
526,0,5,58,0,1,0
527,0,1,64,0,1,1
528,1,5,116,0,1,1
529,1,5,241,0,1,1
530,1,2,184,0,1,1
531,1,3,300,0,1,1
532,1,4,358,0,1,1
533,0,5,183,0,1,1
534,1,4,404,0,1,1
535,1,5,32,0,0,0
536,0,2,273,0,1,1
537,0,2,353,0,1,1
538,1,3,63,0,0,1
539,0,2,180,0,1,1
540,1,3,29,0,0,1
541,1,2,253,0,1,1
542,0,2,365,0,1,1
543,1,2,188,0,1,1
544,0,7,264,0,1,1
545,0,5,471,0,1,1
546,1,4,459,0,1,1
547,0,2,358,0,1,1
548,0,7,123,0,1,1
549,0,5,96,0,0,1
550,1,3,349,0,1,1
551,1,5,173,0,1,1
552,1,3,381,0,1,1
553,1,2,144,0,1,1
554,1,4,204,0,1,1
555,0,3,15,0,0,0
556,0,2,339,0,1,1
557,0,4,117,0,1,1
558,0,3,154,0,1,1
559,1,3,436,0,1,1
560,1,5,160,0,1,1
561,1,5,101,0,0,1
562,1,2,44,0,0,0
563,1,4,458,0,1,1
564,0,2,134,0,1,1
565,0,5,90,0,0,1
566,0,4,12,0,0,0
567,1,7,393,0,1,1
568,0,2,406,0,1,1
569,0,3,464,0,1,1
570,1,3,112,0,1,1
571,1,3,445,0,1,1
572,0,1,275,0,1,1
573,0,4,150,0,1,1
574,1,4,213,0,1,1
575,0,3,342,0,1,1
576,1,2,453,0,1,1
577,1,3,96,0,1,1
578,1,4,429,0,1,1
579,1,5,262,0,1,1
580,0,7,46,0,0,1
581,1,1,420,0,1,1
582,1,4,339,0,1,1
583,1,5,196,0,1,1
584,0,4,39,0,0,0
585,0,3,359,0,1,1
586,1,3,432,0,1,1
587,1,4,412,0,1,1
588,1,4,178,0,1,1
589,1,3,90,0,0,0
590,0,4,20,0,0,0
591,0,4,29,0,1,0
592,1,4,135,0,1,1
593,1,7,227,0,1,1
594,0,2,30,0,1,0
595,0,7,469,0,1,1
596,0,4,331,0,1,1
597,1,3,320,0,1,1
598,0,3,477,0,1,1
599,1,4,446,0,1,1
600,0,3,360,0,1,1
601,1,5,325,0,1,1
602,0,3,462,0,1,1
603,1,1,433,0,1,1
604,0,3,70,0,0,0
605,0,4,263,0,1,1
606,1,2,283,0,1,1
607,1,4,315,0,1,1
608,1,1,378,0,1,1
609,0,4,374,0,1,1
610,0,4,324,0,1,1
611,0,4,220,0,1,1
612,1,4,437,0,1,1
613,1,4,84,0,1,1
614,1,2,244,0,1,1
615,1,5,47,0,0,1
616,0,5,44,0,1,1
617,0,2,375,0,1,1
618,0,4,291,0,1,1
619,0,4,235,0,1,1
620,1,4,183,0,1,1
621,0,5,378,0,1,1
622,0,3,102,0,0,1
623,1,3,391,0,1,1
624,0,4,321,0,1,1
625,0,4,473,0,1,1
626,1,2,303,0,1,1
627,0,5,36,0,0,0
628,1,4,257,0,1,1
629,0,2,416,0,1,1
630,0,3,323,0,1,1
631,1,3,243,0,1,1
632,0,7,204,0,1,1
633,1,3,148,0,1,1
634,0,5,251,0,1,1
635,0,4,475,0,1,1
636,1,5,188,0,1,1
637,0,4,357,0,1,1
638,0,4,90,0,1,1
639,1,2,336,0,1,1
640,1,3,104,0,1,1
641,0,5,60,0,0,1
642,0,5,158,0,1,1
643,0,4,30,0,0,0
644,0,5,375,0,1,1
645,1,5,70,0,0,1
646,0,4,339,0,1,1
647,0,4,111,0,1,1
648,1,3,238,0,1,1
649,0,4,466,0,1,1
650,1,7,142,0,1,1
651,1,3,233,0,1,1
652,1,2,385,0,1,1
653,1,3,204,0,1,1
654,1,3,208,0,1,1
655,0,1,270,0,1,1
656,1,3,96,0,1,1
657,1,7,81,0,0,1
658,1,3,32,0,0,0
659,0,4,339,0,1,1
660,1,7,291,0,1,1
661,0,3,471,0,1,1
662,1,3,125,0,1,1
663,1,5,413,0,1,1
664,0,5,98,0,1,1
665,1,3,117,0,0,1
666,1,5,249,0,1,1
667,1,3,347,0,1,1
668,0,2,422,0,1,1
669,1,5,103,0,1,1
670,0,5,187,0,1,1
671,0,5,249,0,1,1
672,1,3,95,0,1,1
673,1,4,415,0,1,1
674,0,7,392,0,1,1
675,1,2,466,0,1,1
676,0,2,443,0,1,1
677,0,4,283,0,1,1
678,1,3,113,0,0,1
679,0,7,109,0,0,1
680,1,2,218,0,1,1
681,1,2,272,0,1,1
682,0,5,137,0,1,1
683,1,4,261,0,1,1
684,1,2,112,0,1,1
685,1,4,133,0,1,1
686,0,5,272,0,1,1
687,1,3,398,0,1,1
688,1,3,22,0,0,0
689,0,2,296,0,1,1
690,0,1,113,0,0,1
691,1,7,229,0,1,1
692,0,3,268,0,1,1
693,1,5,163,0,1,1
694,1,4,450,0,1,1
695,0,4,301,0,1,1
696,0,2,303,0,1,1
697,0,2,193,0,1,1
698,1,5,373,0,1,1
699,1,7,222,0,1,1
700,1,2,261,0,1,1
701,1,3,107,0,1,1
702,0,5,130,0,1,1
703,1,7,340,0,1,1
704,0,4,324,0,1,1
705,0,2,325,0,1,1
706,0,4,357,0,1,1
707,0,4,268,0,1,1
708,0,4,357,0,1,1
709,0,5,141,0,0,1
710,1,4,49,0,0,0
711,1,4,431,0,1,1
712,1,3,173,0,1,0
713,1,5,307,0,1,1
714,0,4,315,0,1,1
715,1,7,296,0,1,1
716,1,4,461,0,1,1
717,1,3,441,0,1,1
718,1,3,305,0,1,1
719,1,5,344,0,1,1
720,0,4,364,0,1,1
721,0,5,44,0,1,1
722,0,3,121,0,1,1
723,0,4,418,0,1,1
724,0,5,139,0,1,1
725,0,5,265,0,1,1
726,0,3,256,0,1,1
727,1,4,91,0,1,1
728,0,3,55,0,0,0
729,0,5,340,0,1,1
730,1,4,256,0,1,1
731,1,2,321,0,1,1
732,0,5,191,0,1,1
733,1,3,212,0,1,1
734,1,2,178,0,1,1
735,1,3,224,0,1,1
736,0,2,393,0,1,1
737,1,2,31,0,0,0
738,0,7,157,0,1,1
739,0,4,396,0,1,1
740,1,5,397,0,1,1
741,1,1,216,0,1,1
742,1,5,70,0,1,1
743,0,1,31,0,0,0
744,0,2,371,0,1,1
745,0,4,368,0,1,1
746,0,3,216,0,1,1
747,1,7,293,0,1,1
748,1,4,61,0,1,1
749,1,2,152,0,1,1
750,0,4,106,0,0,1
751,0,3,91,0,1,0
752,1,2,319,0,1,1
753,1,4,409,0,1,1
754,0,2,264,0,1,1
755,0,2,204,0,1,1
756,0,2,126,0,1,1
757,1,5,266,0,1,1
758,1,5,396,0,1,1
759,1,7,209,0,1,1
760,1,5,386,0,1,1
761,1,7,153,0,1,1
762,0,2,162,0,1,1
763,0,2,161,0,1,1
764,1,3,207,0,1,1
765,1,5,474,0,1,1
766,0,5,401,0,1,1
767,1,4,69,0,1,1
768,1,3,96,0,0,1
769,1,2,448,0,1,1
770,1,3,204,0,1,1
771,0,5,302,0,1,1
772,1,2,161,0,0,0
773,1,5,190,0,1,1
774,0,5,273,0,1,1
775,1,3,240,0,1,1
776,1,4,364,0,1,1
777,0,2,173,0,1,1
778,0,4,462,0,1,1
779,1,5,128,0,1,1
780,0,3,444,0,1,1
781,0,4,291,0,1,1
782,0,7,134,0,0,0
783,1,3,359,0,1,1
784,1,7,175,0,1,1
785,1,5,252,0,1,1
786,0,2,337,0,1,1
787,0,3,219,0,1,1
788,1,4,477,0,1,1
789,1,2,128,0,1,1
790,1,5,47,0,0,1
791,1,4,356,0,1,1
792,0,4,354,0,1,1
793,0,2,247,0,1,1
794,1,5,68,0,0,0
795,0,4,215,0,1,1
796,0,2,322,0,1,1
797,1,5,368,0,1,1
798,0,4,178,0,1,1
799,1,2,31,0,0,0
800,0,4,464,0,1,1
801,1,2,134,0,1,1
802,0,3,310,0,1,1
803,0,5,216,0,1,1
804,1,3,329,0,1,1
805,1,2,311,0,1,1
806,0,3,26,0,0,0
807,1,4,19,0,0,0
808,1,2,443,0,1,1
809,1,3,468,0,1,1
810,1,2,164,0,1,1
811,0,3,111,0,1,1
812,1,3,453,0,1,1
813,0,1,323,0,1,1
814,1,5,260,0,1,1
815,1,5,317,0,1,1
816,1,7,116,0,0,1
817,1,3,396,0,1,1
818,0,2,289,0,1,1
819,1,1,337,0,1,1
820,1,4,413,0,1,1
821,1,4,348,0,1,1
822,0,3,89,0,0,0
823,1,4,166,0,1,1
824,1,3,164,0,1,1
825,1,2,15,0,0,1
826,0,3,314,0,1,1
827,0,3,263,0,1,1
828,0,2,314,0,1,1
829,1,4,99,0,0,1
830,1,1,328,0,1,1
831,1,1,48,0,0,0
832,1,5,440,0,1,1
833,1,3,182,0,1,1
834,1,3,19,0,0,0
835,1,5,311,0,1,1
836,0,4,297,0,1,1
837,0,2,74,0,0,0
838,1,2,265,0,1,1
839,0,1,429,0,1,1
840,1,3,469,0,1,1
841,1,5,142,0,1,1
842,1,5,411,0,1,1
843,1,3,372,0,1,1
844,1,3,239,0,1,1
845,1,4,157,0,1,1
846,1,4,471,0,1,1
847,1,4,221,0,1,1
848,1,3,259,0,1,1
849,1,5,98,0,1,1
850,1,2,360,0,1,1
851,1,4,48,0,0,1
852,1,4,387,0,1,1
853,1,5,328,0,1,1
854,1,4,391,0,1,1
855,1,4,299,0,1,1
856,0,4,228,0,1,1
857,1,4,281,0,1,1
858,0,5,317,0,1,1
859,1,5,81,0,0,1
860,0,4,419,0,1,1
861,1,2,142,0,1,0
862,0,2,250,0,1,1
863,1,2,90,0,1,1
864,0,3,348,0,1,1
865,0,7,413,0,1,1
866,0,2,98,0,1,1
867,1,3,211,0,1,1
868,1,3,439,0,1,1
869,1,2,444,0,1,1
870,1,7,116,0,0,1
871,1,5,291,0,1,1
872,1,3,239,0,1,1
873,1,3,392,0,1,1
874,1,4,369,0,1,1
875,1,3,73,0,0,0
876,1,7,300,0,1,1
877,1,3,439,0,1,1
878,0,4,141,0,1,1
879,1,3,168,0,1,1
880,1,4,159,0,1,1
881,0,3,352,0,1,1
882,0,4,131,0,1,1
883,0,2,45,0,0,0
884,0,4,365,0,1,1
885,1,4,460,0,1,1
886,1,5,230,0,1,1
887,0,2,415,0,1,1
888,1,3,207,0,1,1
889,1,4,97,0,1,1
890,1,5,247,0,1,1
891,0,4,441,0,1,1
892,1,3,92,0,0,1
893,0,4,169,0,1,1
894,1,4,175,0,1,1
895,0,3,188,0,1,1
896,1,2,429,0,1,1
897,0,4,260,0,1,1
898,1,3,319,0,1,1
899,1,2,68,0,1,1
900,1,2,220,0,1,1
901,1,3,414,0,1,1
902,1,5,345,0,1,1
903,0,5,66,0,0,0
904,1,5,282,0,1,1
905,1,2,473,0,1,1
906,1,3,283,0,1,1
907,1,4,19,0,0,0
908,0,5,43,0,0,0
909,0,7,369,0,1,1
910,1,4,213,0,1,1
911,1,3,175,0,1,1
912,1,4,312,0,1,1
913,0,4,30,0,0,0
914,1,2,290,0,1,1
915,1,5,272,0,1,1
916,1,1,335,0,1,1
917,0,2,17,0,0,0
918,1,3,445,0,1,1
919,0,2,407,0,1,1
920,0,3,90,0,1,1
921,0,5,198,0,1,1
922,1,7,368,0,1,1
923,0,4,195,0,1,1
924,0,3,144,0,1,1
925,1,7,202,0,1,1
926,1,2,23,0,0,0
927,1,3,470,0,1,1
928,1,2,323,0,1,1
929,1,4,237,0,1,1
930,0,2,400,0,1,1
931,1,5,305,0,1,1
932,0,4,93,0,1,1
933,1,4,178,0,1,1
934,0,5,278,0,1,1
935,1,5,354,0,1,1
936,0,4,207,0,1,1
937,1,3,453,0,1,1
938,1,4,89,0,1,1
939,0,5,89,0,1,1
940,0,3,385,0,1,1
941,1,5,335,0,1,1
942,1,4,217,0,1,1
943,1,5,169,0,1,1
944,0,3,116,0,1,1
945,1,4,412,0,1,1
946,0,2,215,0,1,1
947,0,3,203,0,1,1
948,0,2,60,0,0,0
949,1,5,288,0,1,1
950,1,3,62,0,0,1
951,0,2,269,0,1,1
952,0,2,184,0,1,1
953,0,2,300,0,1,1
954,1,3,300,0,1,1
955,0,1,309,0,1,1
956,0,5,157,0,1,1
957,1,3,75,0,1,1
958,1,2,375,0,1,1
959,1,5,475,0,1,1
960,1,1,190,0,1,1
961,1,2,202,0,1,1
962,0,4,388,0,1,1
963,0,7,196,0,1,1
964,1,4,198,0,1,1
965,1,1,185,0,1,1
966,0,3,460,0,1,1
967,0,1,132,0,1,1
968,1,2,477,0,1,1
969,1,5,284,0,1,1
970,0,5,22,0,0,0
971,1,5,102,0,1,1
972,1,4,355,0,1,1
973,1,2,222,0,1,1
974,0,2,207,0,1,1
975,1,5,255,0,1,1
976,1,5,54,0,0,1
977,0,3,452,0,1,1
978,1,5,312,0,1,1
979,1,5,369,0,1,1
980,1,4,203,0,1,1
981,1,5,331,0,1,1
982,0,4,309,0,1,1
983,0,2,365,0,1,1
984,1,5,212,0,1,1
985,1,4,37,0,0,0
986,0,4,257,0,1,1
987,1,5,93,0,0,1
988,0,2,323,0,1,1
989,1,4,430,0,1,1
990,1,5,346,0,1,1
991,0,5,286,0,1,1
992,0,4,186,0,1,1
993,0,2,273,0,1,1
994,1,3,405,0,1,1
995,1,3,205,0,1,1
